pd,ps,n,time,total_cells,active_cells,stem_cells,active_stem_cells
0.4,0.8,7,4,8,8,4,4
0.4,0.8,7,5,16,16,6,6
0.4,0.8,7,6,32,32,10,10
0.4,0.8,7,7,61,58,13,12
0.4,0.8,7,8,110,98,16,12
0.4,0.8,7,9,183,146,16,8
0.4,0.8,7,10,292,218,18,8
0.2,0.5,5,1,1,1,1,1
0.2,0.5,5,2,2,2,2,2
0.2,0.5,5,3,4,4,3,3
0.2,0.5,5,4,8,8,3,3
0.2,0.5,5,5,16,16,3,3
0.2,0.5,5,6,32,32,5,5
0.2,0.5,5,7,63,62,6,6
0.2,0.5,5,8,114,102,9,9
0.2,0.5,5,9,193,158,9,7
0.2,0.5,5,10,304,222,11,7
0.4,0.5,5,1,1,1,1,1
0.4,0.5,5,2,2,2,2,2
0.4,0.5,5,3,4,4,3,3
0.4,0.5,5,4,8,8,2,2
0.4,0.5,5,5,16,16,4,4
0.4,0.5,5,6,32,32,6,6
0.4,0.5,5,7,62,60,6,6
0.4,0.5,5,8,114,104,11,10
0.4,0.5,5,9,192,156,7,2
0.4,0.5,5,10,307,230,7,1
0.4,0.3,3,1,1,1,1,1
0.4,0.3,3,2,2,2,1,1
0.4,0.3,3,3,4,4,0,0
0.4,0.3,3,4,8,8,0,0
0.4,0.3,3,5,16,16,0,0
0.4,0.3,3,6,31,30,0,0
0.4,0.3,3,7,60,58,0,0
0.4,0.3,3,8,106,92,0,0
0.4,0.3,3,9,179,146,0,0
0.4,0.3,3,10,287,216,0,0
0.2,0.5,1,1,1,1,1,1
0.2,0.5,1,2,2,2,1,1
0.2,0.5,1,3,4,4,2,2
0.2,0.5,1,4,8,8,4,4
0.2,0.5,1,5,16,16,3,3
0.2,0.5,1,6,32,32,5,5
0.2,0.5,1,7,60,56,9,9
0.2,0.5,1,8,108,96,10,10
0.2,0.5,1,9,184,152,15,11
0.2,0.5,1,10,300,232,16,9
0.6,0.5,1,1,1,1,1,1
0.6,0.5,1,2,2,2,0,0
0.6,0.5,1,3,4,4,0,0
0.6,0.5,1,4,8,8,0,0
0.6,0.5,1,5,16,16,0,0
0.6,0.5,1,6,32,32,0,0
0.6,0.5,1,7,64,64,0,0
0.6,0.5,1,8,116,104,0,0
0.6,0.5,1,9,194,156,0,0
0.6,0.5,1,10,310,232,0,0
0.2,0.5,4,1,1,1,1,1
0.2,0.5,4,2,2,2,0,0
0.2,0.5,4,3,4,4,0,0
0.2,0.5,4,4,8,8,0,0
0.2,0.5,4,5,16,16,0,0
0.2,0.5,4,6,32,32,0,0
0.2,0.5,4,7,60,56,0,0
0.2,0.5,4,8,106,92,0,0
0.2,0.5,4,9,178,144,0,0
0.2,0.5,4,10,290,224,0,0
0.6,0.3,4,1,1,1,1,1
0.6,0.3,4,2,2,2,0,0
0.6,0.3,4,3,4,4,0,0
0.6,0.3,4,4,8,8,0,0
0.6,0.3,4,5,16,16,0,0
0.6,0.3,4,6,32,32,0,0
0.6,0.3,4,7,61,58,0,0
0.6,0.3,4,8,112,102,0,0
0.6,0.3,4,9,191,158,0,0
0.6,0.3,4,10,301,220,0,0
0.6,0.5,3,1,1,1,1,1
0.6,0.5,3,2,2,2,2,2
0.6,0.5,3,3,4,4,0,0
